CustomerID,Age,Gender,AnnualIncome_k,SpendingScore,PurchaseFrequency,MembershipYears
1001,22,Female,48.1,12,5,3.4
1002,43,Female,34.3,70,8,0.6
1003,21,Female,69.5,89,5,4.2
1004,37,Female,19.5,30,6,4.9
1005,41,Female,61.5,75,4,1.6
1006,57,Male,58.0,62,5,6.2
1007,46,Male,72.6,30,4,5.0
1008,32,Male,69.6,52,9,6.9
1009,41,Male,71.5,43,4,2.1
1010,26,Male,33.6,53,9,4.6
1011,43,Female,55.8,55,9,4.4
1012,64,Male,40.7,90,2,3.3
1013,60,Male,45.2,75,4,1.4
1014,44,Female,63.6,23,7,6.9
1015,26,Female,62.6,17,6,2.4
1016,57,Male,75.1,81,9,6.6
1017,56,Female,65.7,99,7,1.4
1018,22,Female,43.2,81,5,1.1
1019,25,Male,60.7,77,6,4.7
1020,62,Female,61.9,68,10,1.1
1021,18,Male,,51,3,7.7
1022,29,Female,56.6,27,7,3.6
1023,24,Male,38.4,93,3,6.5
1024,37,Male,49.3,62,12,2.0
1025,62,Female,70.1,38,5,6.9
1026,23,Female,50.9,90,5,1.7
1027,42,Male,57.0,87,4,7.9
1028,18,Female,39.5,9,7,0.7
1029,52,Male,56.8,66,6,2.9
1030,27,Male,54.0,32,10,0.5
1031,32,Male,88.5,42,7,3.4
1032,56,Female,81.8,47,5,1.5
1033,22,Male,86.0,31,4,3.3
1034,64,Male,15.0,93,8,6.9
1035,27,Female,50.5,5,6,4.1
1036,41,Male,50.1,57,4,5.8
1037,53,Male,73.2,49,0,0.0
1038,21,Male,66.8,92,11,0.9
1039,26,Male,47.0,58,3,5.8
1040,37,Female,57.4,50,5,3.6
1041,19,Male,45.2,91,4,6.4
1042,18,Male,86.1,10,12,7.5
1043,34,Male,24.8,27,7,6.0
1044,49,Female,87.9,30,5,7.0
1045,47,Male,62.1,53,4,3.6
1046,62,Male,15.0,20,7,4.7
1047,46,Male,30.3,69,6,1.2
1048,25,Female,15.0,93,12,7.1
1049,41,Female,93.6,42,6,5.3
1050,28,Male,24.2,80,6,0.4
1051,59,Male,55.7,93,2,4.0
1052,53,Female,55.1,16,5,6.3
1053,18,Female,68.8,25,5,1.9
1054,25,Female,15.0,30,7,5.9
1055,41,Male,52.0,2,9,4.1
1056,46,Female,57.6,59,6,6.4
1057,50,Male,36.4,20,4,0.5
1058,39,Male,26.1,47,4,0.7
1059,54,Male,89.5,97,8,2.1
1060,53,Male,15.9,83,13,2.4
1061,51,Male,54.9,68,2,2.1
1062,21,Male,59.5,33,5,3.7
1063,45,Male,78.4,89,11,7.5
1064,51,Male,51.7,1,7,1.9
1065,37,Female,44.2,57,2,1.5
1066,45,Male,82.9,80,8,3.7
1067,22,Female,52.1,25,1,4.0
1068,37,Male,60.3,99,4,2.0
1069,51,Male,57.6,75,12,3.9
1070,48,Male,59.7,88,3,2.2
1071,55,Male,71.4,35,8,4.6
1072,27,Female,,21,4,0.9
1073,47,Female,19.5,56,3,4.6
1074,35,Male,54.5,53,1,6.5
1075,49,Male,69.4,68,6,3.8
1076,20,Female,56.9,14,4,6.1
1077,37,Female,36.1,91,8,3.2
1078,36,Female,48.9,33,2,1.7
1079,39,Male,73.7,16,4,5.8
1080,21,Female,79.8,66,1,0.8
1081,29,Male,34.4,33,5,0.9
1082,34,Male,65.3,2,5,3.9
1083,30,Male,58.2,87,7,2.2
1084,47,Female,,62,8,0.8
1085,61,Male,53.3,2,9,7.6
1086,59,Female,61.7,86,5,4.7
1087,27,Female,,15,9,1.4
1088,30,Male,80.0,9,6,4.0
1089,21,Female,69.1,93,2,6.6
1090,64,Female,53.7,20,9,2.7
1091,32,Male,53.4,4,5,1.8
1092,38,Male,39.6,74,5,4.2
1093,33,Male,55.4,91,2,1.4
1094,53,Male,48.2,24,8,2.4
1095,22,Female,72.0,44,4,5.2
1096,61,Female,67.4,66,9,6.9
1097,26,Female,81.0,48,7,3.9
1098,44,Male,36.5,24,8,7.9
1099,61,Male,72.7,56,4,5.3
1100,41,Male,43.1,92,9,6.0
1101,31,Male,53.4,60,7,2.7
1102,57,Male,54.4,83,6,5.8
1103,21,Male,50.2,28,11,3.3
1104,47,Female,58.6,11,11,1.6
1105,30,Male,36.0,32,4,0.5
1106,30,Female,60.0,57,5,3.1
1107,33,Male,25.8,85,11,1.2
1108,47,Male,46.5,4,8,4.6
1109,26,Female,37.8,53,4,6.8
1110,56,Male,90.8,40,6,0.9
1111,24,Male,48.9,91,8,7.4
1112,39,Male,65.1,55,4,5.8
1113,62,Female,37.5,97,15,7.4
1114,45,Male,58.4,54,3,7.0
1115,25,Female,23.0,78,11,4.6
1116,35,Male,79.8,8,7,6.9
1117,60,Male,47.1,27,4,0.6
1118,23,Male,71.0,60,5,6.2
1119,54,Male,51.8,47,5,2.1
1120,59,Female,93.3,62,6,0.9
1121,59,Male,50.1,89,4,4.4
1122,47,Male,15.0,92,4,4.5
1123,44,Male,68.5,49,2,1.0
1124,18,Female,104.8,18,7,4.2
1125,40,Female,69.1,30,7,6.8
1126,52,Female,69.9,30,7,3.9
1127,30,Male,47.0,22,8,6.7
1128,24,Male,41.6,76,12,0.3
1129,58,Female,52.7,99,7,2.6
1130,52,Female,52.8,56,8,1.4
1131,60,Male,29.9,48,6,1.6
1132,64,Female,67.4,71,2,6.9
1133,47,Male,73.5,70,10,2.2
1134,56,Female,38.3,74,2,1.4
1135,60,Female,40.2,11,1,7.1
1136,35,Female,84.1,78,5,7.7
1137,23,Male,51.7,55,7,7.9
1138,33,Female,,66,6,1.0
1139,30,Female,35.8,36,4,0.2
1140,59,Male,38.4,6,9,5.3
1141,58,Male,70.6,5,5,7.6
